day,fit,se.fit,f1
140,98.20100173,6.469684828,0.982010017
141,98.15071787,6.454330804,0.981507179
142,98.0985039,6.434892204,0.980985039
143,98.04442016,6.411656807,0.980444202
144,97.98852698,6.384930453,0.97988527
145,97.93088473,6.355035199,0.979308847
146,97.87155373,6.322307556,0.978715537
147,97.81059432,6.287096786,0.978105943
148,97.74806686,6.249763194,0.977480669
149,97.68403168,6.210676387,0.976840317
150,97.61854913,6.170213477,0.976185491
151,97.55167954,6.128757163,0.975516795
152,97.48348327,6.086693701,0.974834833
153,97.41402064,6.044410711,0.974140206
154,97.34335201,6.002294809,0.97343352
155,97.27153771,5.960729057,0.972715377
156,97.1986381,5.920090224,0.971986381
157,97.1247135,5.880745858,0.971247135
158,97.04982427,5.843051194,0.970498243
159,96.97403074,5.807345917,0.969740307
160,96.89739326,5.77395083,0.968973933
161,96.81997217,5.743164472,0.968199722
162,96.74182781,5.715259754,0.967418278
163,96.66302052,5.690480689,0.966630205
164,96.58361066,5.669039296,0.965836107
165,96.50365854,5.651112765,0.965036585
166,96.42322453,5.636840971,0.964232245
167,96.34236897,5.626324408,0.96342369
168,96.26115219,5.619622628,0.962611522
169,96.17963453,5.616753228,0.961796345
170,96.09787634,5.617691423,0.960978763
171,96.01593797,5.622370228,0.96015938
172,95.93387975,5.630681237,0.959338798
173,95.85176203,5.642475964,0.95851762
174,95.76964514,5.657567712,0.957696451
175,95.68758944,5.675733893,0.956875894
176,95.60565526,5.696718725,0.956056553
177,95.52390294,5.720236221,0.955239029
178,95.44239283,5.745973386,0.954423928
179,95.36118527,5.77359353,0.953611853
180,95.2803406,5.802739624,0.952803406
181,95.19991917,5.833037623,0.951999192
182,95.11998131,5.864099707,0.951199813
183,95.04058737,5.895527375,0.950405874
184,94.96179769,5.926914389,0.949617977
185,94.88367262,5.957849505,0.948836726
186,94.80627249,5.987919025,0.948062725
187,94.72965764,6.016709139,0.947296576
188,94.65388843,6.043808075,0.946538884
189,94.57902519,6.068808086,0.945790252
190,94.50512826,6.091307276,0.945051283
191,94.43225799,6.110911307,0.94432258
192,94.36047472,6.127235019,0.943604747
193,94.28983878,6.139903991,0.942898388
194,94.22041053,6.14855609,0.942204105
195,94.15225031,6.152843044,0.941522503
196,94.08541845,6.152432096,0.940854184
197,94.0199753,6.147007779,0.940199753
198,93.95597057,6.136282251,0.939559706
199,93.89320934,6.120182422,0.938932093
200,93.83125206,6.098854295,0.938312521
201,93.76964856,6.07247838,0.937696486
202,93.70794867,6.041259008,0.937079487
203,93.6457022,6.005422314,0.936457022
204,93.58245899,5.965214501,0.93582459
205,93.51776885,5.920900334,0.935177688
206,93.4511816,5.872761832,0.934511816
207,93.38224707,5.821097107,0.933822471
208,93.31051508,5.766219322,0.933105151
209,93.23553546,5.708455729,0.932355355
210,93.15685802,5.64814675,0.93156858
211,93.0740326,5.585645068,0.930740326
212,92.98660901,5.521314693,0.92986609
213,92.89413708,5.455529958,0.928941371
214,92.79616663,5.388674423,0.927961666
215,92.69224748,5.321139627,0.926922475
216,92.58192945,5.253323659,0.925819295
217,92.46476238,5.185629512,0.924647624
218,92.34029608,5.118463169,0.923402961
219,92.20808037,5.052231388,0.922080804
220,92.06766508,4.987339168,0.920676651
221,91.91860004,4.924186854,0.919186
222,91.76043506,4.863166889,0.917604351
223,91.59271996,4.804660209,0.9159272
224,91.41500458,4.749032314,0.914150046
225,91.22683873,4.696629058,0.912268387
226,91.02777223,4.647772235,0.910277722
227,90.81735492,4.602755071,0.908173549
228,90.59513661,4.561837731,0.905951366
229,90.36066712,4.525243004,0.903606671
230,90.11349629,4.493152323,0.901134963
231,89.85317392,4.465702291,0.898531739
232,89.57924985,4.442981862,0.895792499
233,89.2912739,4.42503034,0.892912739
234,88.98879589,4.411836299,0.889887959
235,88.67136565,4.403337494,0.886713656
236,88.33853299,4.399421795,0.88338533
237,87.98984774,4.399929118,0.879898477
238,87.62485972,4.404654281,0.876248597
239,87.24311876,4.413350668,0.872431188
